date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-08-18,110.09,110.09,110.09,110.09,109.746391381,0,0.0000,1.0
2021-08-17,111.2,111.2,111.2,111.2,110.852926892,0,0.0000,1.0
2021-08-16,112.04,112.04,112.04,112.04,111.690305117,0,0.0000,1.0
2021-08-13,111.98,111.98,111.98,111.98,111.630492386,0,0.0000,1.0
2021-08-12,111.92,111.92,111.92,111.92,111.570679656,0,0.0000,1.0
2021-08-11,111.6,111.6,111.6,111.6,111.251678428,0,0.0000,1.0
2021-08-10,111.33,111.33,111.33,111.33,110.982521141,0,0.0000,1.0
2021-08-09,111.29,111.29,111.29,111.29,110.942645987,0,0.0000,1.0
2021-08-06,111.37,111.37,111.37,111.37,111.022396295,0,0.0000,1.0
2021-08-05,111.25,111.25,111.25,111.25,110.902770834,0,0.0000,1.0
2021-08-04,110.44,110.44,110.44,110.44,110.095298974,0,0.0000,1.0
2021-08-03,110.95,110.95,110.95,110.95,110.603707182,0,0.0000,1.0
2021-08-02,110.15,110.15,110.15,110.15,109.806204111,0,0.0000,1.0
2021-07-30,110.35,110.35,110.35,110.35,110.005579879,0,0.0000,1.0
2021-07-29,110.97,110.97,110.97,110.97,110.623644759,0,0.0000,1.0
2021-07-28,110.51,110.51,110.51,110.51,110.165080493,0,0.0000,1.0
2021-07-27,110.29,110.29,110.29,110.29,109.945767149,0,0.0000,1.0
2021-07-26,110.91,110.91,110.91,110.91,110.563832029,0,0.0000,1.0
2021-07-23,110.69,110.69,110.69,110.69,110.344518684,0,0.0000,1.0
2021-07-22,109.58,109.58,109.58,109.58,109.237983173,0,0.0000,1.0
2021-07-21,109.51,109.51,109.51,109.51,109.168201654,0,0.0000,1.0
2021-07-20,108.51,108.51,108.51,108.51,108.171322815,0,0.0000,1.0
2021-07-19,106.66,106.66,106.66,106.66,106.327096963,0,0.0000,1.0
2021-07-16,108.27,108.27,108.27,108.27,107.932071894,0,0.0000,1.0
2021-07-15,109.08,109.08,109.08,109.08,108.739543753,0,0.0000,1.0
2021-07-14,109.45,109.45,109.45,109.45,109.108388924,0,0.0000,1.0
2021-07-13,109.61,109.61,109.61,109.61,109.267889538,0,0.0000,1.0
2021-07-12,110.24,110.24,110.24,110.24,109.895923207,0,0.0000,1.0
2021-07-09,109.96,109.96,109.96,109.96,109.616797132,0,0.0000,1.0
2021-07-08,108.58,108.58,108.58,108.58,108.241104334,0,0.0000,1.0
2021-07-07,109.53,109.53,109.53,109.53,109.188139231,0,0.0000,1.0
2021-07-06,109.36,109.36,109.36,109.36,109.018669828,0,0.0000,1.0
2021-07-02,109.64,109.64,109.64,109.64,109.297795903,0,0.0000,1.0
