date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-06,36.79,36.79,36.79,36.79,36.649451134,0,0.0000,1.0
2021-07-02,36.96,36.96,36.96,36.96,36.8188016829,0,0.0000,1.0
2021-07-01,36.77,36.77,36.77,36.77,36.62952754,0,0.0000,1.0
2021-06-30,36.67,36.67,36.67,36.67,36.5299095701,0,0.0000,1.0
2021-06-29,36.76,36.76,36.76,36.76,36.619565743,0,0.0000,1.0
2021-06-28,36.78,36.78,36.78,36.78,36.639489337,0,0.0000,1.0
2021-06-25,36.8,36.8,36.8,36.8,36.659412931,0,0.0000,1.0
2021-06-24,36.66,36.66,36.66,36.66,36.5199477731,0,0.0000,1.0
2021-06-23,36.38,36.38,36.38,36.38,36.2410174573,0,0.0000,1.0
2021-06-22,36.44,36.44,36.44,36.44,36.3007882393,0,0.0000,1.0
2021-06-21,36.32,36.32,36.32,36.32,36.1812466754,0,0.0000,1.0
2021-06-18,35.88,35.88,35.88,35.88,35.7429276077,0,0.1772,1.0
2021-06-17,36.58,36.58,36.58,36.58,36.2611709143,0,0.0000,1.0
2021-06-16,36.67,36.67,36.67,36.67,36.3503864797,0,0.0000,1.0
2021-06-15,36.89,36.89,36.89,36.89,36.5684689729,0,0.0000,1.0
2021-06-14,36.97,36.97,36.97,36.97,36.6477716977,0,0.0000,1.0
2021-06-11,36.9,36.9,36.9,36.9,36.5783818135,0,0.0000,1.0
2021-06-10,36.83,36.83,36.83,36.83,36.5089919293,0,0.0000,1.0
2021-06-09,36.67,36.67,36.67,36.67,36.3503864797,0,0.0000,1.0
2021-06-08,36.77,36.77,36.77,36.77,36.4495148857,0,0.0000,1.0
2021-06-07,36.77,36.77,36.77,36.77,36.4495148857,0,0.0000,1.0
2021-06-04,36.74,36.74,36.74,36.74,36.4197763639,0,0.0000,1.0
2021-06-03,36.43,36.43,36.43,36.43,36.1124783053,0,0.0000,1.0
2021-06-02,36.61,36.61,36.61,36.61,36.2909094361,0,0.0000,1.0
2021-06-01,36.54,36.54,36.54,36.54,36.2215195519,0,0.0000,1.0
2021-05-28,36.42,36.42,36.42,36.42,36.1025654647,0,0.0000,1.0
2021-05-27,36.34,36.34,36.34,36.34,36.0232627399,0,0.0000,1.0
2021-05-26,36.25,36.25,36.25,36.25,35.9340471745,0,0.0000,1.0
2021-05-25,36.14,36.14,36.14,36.14,35.8250059279,0,0.0000,1.0
2021-05-24,36.17,36.17,36.17,36.17,35.8547444497,0,0.0000,1.0
2021-05-21,35.87,35.87,35.87,35.87,35.5573592317,0,0.0000,1.0
2021-05-20,35.92,35.92,35.92,35.92,35.6069234347,0,0.0000,1.0
2021-05-19,35.51,35.51,35.51,35.51,35.2004969701,0,0.0000,1.0
2021-05-18,35.7,35.7,35.7,35.7,35.3888409415,0,0.0000,1.0
2021-05-17,35.76,35.76,35.76,35.76,35.4483179851,0,0.0000,1.0
2021-05-14,35.83,35.83,35.83,35.83,35.5177078693,0,0.0000,1.0
2021-05-13,35.26,35.26,35.26,35.26,34.9526759551,0,0.0000,1.0
2021-05-12,34.98,34.98,34.98,34.98,34.6751164183,0,0.0000,1.0
2021-05-11,35.73,35.73,35.73,35.73,35.4185794633,0,0.0000,1.0
2021-05-10,36.04,36.04,36.04,36.04,35.7258775219,0,0.0000,1.0
2021-05-07,36.38,36.38,36.38,36.38,36.0629141023,0,0.0000,1.0
2021-05-06,36.04,36.04,36.04,36.04,35.7258775219,0,0.0000,1.0
2021-05-05,35.79,35.79,35.79,35.79,35.4780565069,0,0.0000,1.0
2021-05-04,35.65,35.65,35.65,35.65,35.3392767385,0,0.0000,1.0
2021-05-03,35.99,35.99,35.99,35.99,35.6763133189,0,0.0000,1.0
2021-04-30,35.85,35.85,35.85,35.85,35.5375335505,0,0.0000,1.0
2021-04-29,36.22,36.22,36.22,36.22,35.9043086527,0,0.0000,1.0
2021-04-28,36.13,36.13,36.13,36.13,35.8150930873,0,0.0000,1.0
2021-04-27,36.09,36.09,36.09,36.09,35.7754417249,0,0.0000,1.0
